,TIME,NB,SB,EB,WB,date
0,00:00:00,2,3,0,0,2019-06-04
1,00:15:00,4,8,0,0,2019-06-04
2,00:30:00,2,4,0,0,2019-06-04
3,00:45:00,1,3,0,0,2019-06-04
4,01:00:00,2,4,0,0,2019-06-04
5,01:15:00,3,3,0,0,2019-06-04
6,01:30:00,2,1,0,0,2019-06-04
7,01:45:00,3,1,0,0,2019-06-04
8,02:00:00,0,1,0,0,2019-06-04
9,02:15:00,0,2,0,0,2019-06-04
10,02:30:00,2,2,0,0,2019-06-04
11,02:45:00,6,0,0,0,2019-06-04
12,03:00:00,3,1,0,0,2019-06-04
13,03:15:00,2,1,0,0,2019-06-04
14,03:30:00,1,1,0,0,2019-06-04
15,03:45:00,0,0,0,0,2019-06-04
16,04:00:00,1,2,0,0,2019-06-04
17,04:15:00,3,3,0,0,2019-06-04
18,04:30:00,2,3,0,0,2019-06-04
19,04:45:00,4,2,0,0,2019-06-04
20,05:00:00,6,4,0,0,2019-06-04
21,05:15:00,8,15,0,0,2019-06-04
22,05:30:00,13,15,0,0,2019-06-04
23,05:45:00,8,8,0,0,2019-06-04
24,06:00:00,21,10,0,0,2019-06-04
25,06:15:00,27,14,0,0,2019-06-04
26,06:30:00,44,42,0,0,2019-06-04
27,06:45:00,39,56,0,0,2019-06-04
28,07:00:00,66,75,0,0,2019-06-04
29,07:15:00,49,76,0,0,2019-06-04
30,07:30:00,81,122,0,0,2019-06-04
31,07:45:00,85,138,0,0,2019-06-04
32,08:00:00,115,125,0,0,2019-06-04
33,08:15:00,148,177,0,0,2019-06-04
34,08:30:00,160,196,0,0,2019-06-04
35,08:45:00,186,187,0,0,2019-06-04
36,09:00:00,128,200,0,0,2019-06-04
37,09:15:00,103,167,0,0,2019-06-04
38,09:30:00,95,140,0,0,2019-06-04
39,09:45:00,92,106,0,0,2019-06-04
40,10:00:00,72,76,0,0,2019-06-04
41,10:15:00,77,105,0,0,2019-06-04
42,10:30:00,82,67,0,0,2019-06-04
43,10:45:00,65,87,0,0,2019-06-04
44,11:00:00,73,80,0,0,2019-06-04
45,11:15:00,86,86,0,0,2019-06-04
46,11:30:00,94,80,0,0,2019-06-04
47,11:45:00,95,72,0,0,2019-06-04
48,12:00:00,50,71,0,0,2019-06-04
49,12:15:00,69,70,0,0,2019-06-04
50,12:30:00,62,105,0,0,2019-06-04
51,12:45:00,62,119,0,0,2019-06-04
52,13:00:00,123,85,0,0,2019-06-04
53,13:15:00,90,81,0,0,2019-06-04
54,13:30:00,77,90,0,0,2019-06-04
55,13:45:00,77,86,0,0,2019-06-04
56,14:00:00,77,96,0,0,2019-06-04
57,14:15:00,123,136,0,0,2019-06-04
58,14:30:00,104,98,0,0,2019-06-04
59,14:45:00,134,124,0,0,2019-06-04
60,15:00:00,128,125,0,0,2019-06-04
61,15:15:00,135,146,0,0,2019-06-04
62,15:30:00,148,124,0,0,2019-06-04
63,15:45:00,162,105,0,0,2019-06-04
64,16:00:00,161,105,0,0,2019-06-04
65,16:15:00,152,95,0,0,2019-06-04
66,16:30:00,131,126,0,0,2019-06-04
67,16:45:00,137,140,0,0,2019-06-04
