,TIME,NB,SB,EB,WB,date
120,06:00:00,0,0,102,111,2019-06-05
121,06:15:00,0,0,123,128,2019-06-05
122,06:30:00,0,0,155,188,2019-06-05
123,06:45:00,0,0,165,198,2019-06-05
124,07:00:00,0,0,163,272,2019-06-05
125,07:15:00,0,0,192,293,2019-06-05
126,07:30:00,0,0,278,331,2019-06-05
127,07:45:00,0,0,291,449,2019-06-05
128,08:00:00,0,0,292,505,2019-06-05
129,08:15:00,0,0,244,431,2019-06-05
130,08:30:00,0,0,243,522,2019-06-05
131,08:45:00,0,0,265,397,2019-06-05
132,09:00:00,0,0,226,428,2019-06-05
133,09:15:00,0,0,193,334,2019-06-05
134,09:30:00,0,0,203,310,2019-06-05
135,09:45:00,0,0,205,317,2019-06-05
136,10:00:00,0,0,202,249,2019-06-05
137,10:15:00,0,0,156,296,2019-06-05
138,10:30:00,0,0,154,245,2019-06-05
139,10:45:00,0,0,151,180,2019-06-05
140,11:00:00,0,0,150,210,2019-06-05
141,11:15:00,0,0,106,209,2019-06-05
142,11:30:00,0,0,150,299,2019-06-05
143,11:45:00,0,0,156,260,2019-06-05
144,12:00:00,0,0,118,273,2019-06-05
145,12:15:00,0,0,142,267,2019-06-05
146,12:30:00,0,0,146,249,2019-06-05
147,12:45:00,0,0,135,290,2019-06-05
148,13:00:00,0,0,147,328,2019-06-05
149,13:15:00,0,0,127,357,2019-06-05
150,13:30:00,0,0,127,429,2019-06-05
151,13:45:00,0,0,109,439,2019-06-05
152,14:00:00,0,0,109,536,2019-06-05
153,14:15:00,0,0,126,510,2019-06-05
154,14:30:00,0,0,121,368,2019-06-05
155,14:45:00,0,0,133,489,2019-06-05
156,15:00:00,0,0,121,497,2019-06-05
157,15:15:00,0,0,138,609,2019-06-05
158,15:30:00,0,0,115,510,2019-06-05
159,15:45:00,0,0,143,522,2019-06-05
160,16:00:00,0,0,138,378,2019-06-05
161,16:15:00,0,0,137,361,2019-06-05
162,16:30:00,0,0,182,457,2019-06-05
163,16:45:00,0,0,180,481,2019-06-05
164,17:00:00,0,0,210,387,2019-06-05
165,17:15:00,0,0,245,456,2019-06-05
166,17:30:00,0,0,236,406,2019-06-05
167,17:45:00,0,0,236,535,2019-06-05
168,18:00:00,0,0,213,505,2019-06-05
169,18:15:00,0,0,171,498,2019-06-05
170,18:30:00,0,0,129,416,2019-06-05
171,18:45:00,0,0,127,376,2019-06-05
172,19:00:00,0,0,156,326,2019-06-05
173,19:15:00,0,0,113,331,2019-06-05
174,19:30:00,0,0,115,265,2019-06-05
175,19:45:00,0,0,132,264,2019-06-05
176,20:00:00,0,0,111,238,2019-06-05
177,20:15:00,0,0,105,245,2019-06-05
178,20:30:00,0,0,99,218,2019-06-05
179,20:45:00,0,0,91,190,2019-06-05
180,21:00:00,0,0,91,206,2019-06-05
181,21:15:00,0,0,107,208,2019-06-05
182,21:30:00,0,0,97,205,2019-06-05
183,21:45:00,0,0,90,173,2019-06-05
184,22:00:00,0,0,83,172,2019-06-05
185,22:15:00,0,0,55,146,2019-06-05
186,22:30:00,0,0,33,111,2019-06-05
187,22:45:00,0,0,41,117,2019-06-05
188,23:00:00,0,0,52,118,2019-06-05
189,23:15:00,0,0,35,102,2019-06-05
190,23:30:00,0,0,32,117,2019-06-05
191,23:45:00,0,0,34,59,2019-06-05
192,00:00:00,0,0,31,58,2019-06-06
193,00:15:00,0,0,14,77,2019-06-06
194,00:30:00,0,0,18,40,2019-06-06
195,00:45:00,0,0,17,40,2019-06-06
196,01:00:00,0,0,14,47,2019-06-06
197,01:15:00,0,0,8,24,2019-06-06
198,01:30:00,0,0,5,27,2019-06-06
199,01:45:00,0,0,13,14,2019-06-06
200,02:00:00,0,0,9,17,2019-06-06
201,02:15:00,0,0,7,8,2019-06-06
202,02:30:00,0,0,4,6,2019-06-06
203,02:45:00,0,0,13,17,2019-06-06
204,03:00:00,0,0,8,9,2019-06-06
205,03:15:00,0,0,6,19,2019-06-06
206,03:30:00,0,0,20,18,2019-06-06
207,03:45:00,0,0,14,17,2019-06-06
208,04:00:00,0,0,14,31,2019-06-06
209,04:15:00,0,0,13,23,2019-06-06
210,04:30:00,0,0,35,33,2019-06-06
211,04:45:00,0,0,39,39,2019-06-06
212,05:00:00,0,0,40,30,2019-06-06
213,05:15:00,0,0,54,60,2019-06-06
214,05:30:00,0,0,61,88,2019-06-06
215,05:45:00,0,0,93,87,2019-06-06
216,06:00:00,0,0,89,78,2019-06-06
217,06:15:00,0,0,104,129,2019-06-06
218,06:30:00,0,0,119,211,2019-06-06
219,06:45:00,0,0,158,189,2019-06-06
220,07:00:00,0,0,175,265,2019-06-06
221,07:15:00,0,0,167,333,2019-06-06
222,07:30:00,0,0,224,366,2019-06-06
223,07:45:00,0,0,321,497,2019-06-06
224,08:00:00,0,0,270,490,2019-06-06
225,08:15:00,0,0,227,467,2019-06-06
226,08:30:00,0,0,223,496,2019-06-06
227,08:45:00,0,0,231,438,2019-06-06
228,09:00:00,0,0,205,527,2019-06-06
229,09:15:00,0,0,187,436,2019-06-06
230,09:30:00,0,0,175,358,2019-06-06
231,09:45:00,0,0,175,300,2019-06-06
232,10:00:00,0,0,160,297,2019-06-06
233,10:15:00,0,0,140,228,2019-06-06
234,10:30:00,0,0,131,232,2019-06-06
235,10:45:00,0,0,140,247,2019-06-06
236,11:00:00,0,0,130,279,2019-06-06
237,11:15:00,0,0,106,288,2019-06-06
238,11:30:00,0,0,160,282,2019-06-06
239,11:45:00,0,0,149,239,2019-06-06
240,12:00:00,0,0,161,290,2019-06-06
241,12:15:00,0,0,128,239,2019-06-06
242,12:30:00,0,0,142,265,2019-06-06
243,12:45:00,0,0,113,320,2019-06-06
244,13:00:00,0,0,98,302,2019-06-06
245,13:15:00,0,0,98,313,2019-06-06
246,13:30:00,0,0,105,311,2019-06-06
247,13:45:00,0,0,94,591,2019-06-06
248,14:00:00,0,0,109,563,2019-06-06
249,14:15:00,0,0,127,452,2019-06-06
250,14:30:00,0,0,98,438,2019-06-06
251,14:45:00,0,0,139,525,2019-06-06
252,15:00:00,0,0,133,572,2019-06-06
253,15:15:00,0,0,155,631,2019-06-06
254,15:30:00,0,0,130,519,2019-06-06
255,15:45:00,0,0,127,595,2019-06-06
256,16:00:00,0,0,141,405,2019-06-06
257,16:15:00,0,0,152,470,2019-06-06
258,16:30:00,0,0,165,347,2019-06-06
259,16:45:00,0,0,178,340,2019-06-06
260,17:00:00,0,0,197,386,2019-06-06
261,17:15:00,0,0,240,575,2019-06-06
262,17:30:00,0,0,245,477,2019-06-06
263,17:45:00,0,0,216,502,2019-06-06
264,18:00:00,0,0,188,437,2019-06-06
265,18:15:00,0,0,183,432,2019-06-06
266,18:30:00,0,0,161,445,2019-06-06
267,18:45:00,0,0,158,485,2019-06-06
268,19:00:00,0,0,126,456,2019-06-06
269,19:15:00,0,0,150,333,2019-06-06
270,19:30:00,0,0,120,262,2019-06-06
271,19:45:00,0,0,108,226,2019-06-06
272,20:00:00,0,0,116,222,2019-06-06
273,20:15:00,0,0,86,208,2019-06-06
274,20:30:00,0,0,94,212,2019-06-06
275,20:45:00,0,0,85,220,2019-06-06
276,21:00:00,0,0,105,224,2019-06-06
277,21:15:00,0,0,94,271,2019-06-06
278,21:30:00,0,0,97,228,2019-06-06
279,21:45:00,0,0,88,146,2019-06-06
280,22:00:00,0,0,69,143,2019-06-06
281,22:15:00,0,0,66,165,2019-06-06
282,22:30:00,0,0,57,136,2019-06-06
283,22:45:00,0,0,37,124,2019-06-06
284,23:00:00,0,0,44,125,2019-06-06
285,23:15:00,0,0,18,116,2019-06-06
286,23:30:00,0,0,25,107,2019-06-06
287,23:45:00,0,0,28,83,2019-06-06
