,TIME,NB,SB,EB,WB,date
0,00:00:00,0,2,0,0,2019-06-04
1,00:15:00,1,0,0,0,2019-06-04
2,00:30:00,1,0,0,0,2019-06-04
3,00:45:00,0,0,0,0,2019-06-04
4,01:00:00,0,0,0,0,2019-06-04
5,01:15:00,0,0,0,0,2019-06-04
6,01:30:00,0,0,0,0,2019-06-04
7,01:45:00,1,0,0,0,2019-06-04
8,02:00:00,0,1,0,0,2019-06-04
9,02:15:00,0,0,0,0,2019-06-04
10,02:30:00,0,0,0,0,2019-06-04
11,02:45:00,0,0,0,0,2019-06-04
12,03:00:00,1,0,0,0,2019-06-04
13,03:15:00,1,0,0,0,2019-06-04
14,03:30:00,0,0,0,0,2019-06-04
15,03:45:00,0,0,0,0,2019-06-04
16,04:00:00,1,2,0,0,2019-06-04
17,04:15:00,0,0,0,0,2019-06-04
18,04:30:00,0,2,0,0,2019-06-04
19,04:45:00,5,3,0,0,2019-06-04
20,05:00:00,4,2,0,0,2019-06-04
21,05:15:00,0,5,0,0,2019-06-04
22,05:30:00,2,5,0,0,2019-06-04
23,05:45:00,1,4,0,0,2019-06-04
24,06:00:00,3,14,0,0,2019-06-04
25,06:15:00,2,14,0,0,2019-06-04
26,06:30:00,4,14,0,0,2019-06-04
27,06:45:00,9,28,0,0,2019-06-04
28,07:00:00,12,40,0,0,2019-06-04
29,07:15:00,17,49,0,0,2019-06-04
30,07:30:00,41,44,0,0,2019-06-04
31,07:45:00,20,94,0,0,2019-06-04
32,08:00:00,22,114,0,0,2019-06-04
33,08:15:00,32,129,0,0,2019-06-04
34,08:30:00,23,96,0,0,2019-06-04
35,08:45:00,31,80,0,0,2019-06-04
36,09:00:00,29,63,0,0,2019-06-04
37,09:15:00,24,57,0,0,2019-06-04
38,09:30:00,13,46,0,0,2019-06-04
39,09:45:00,22,32,0,0,2019-06-04
40,10:00:00,18,40,0,0,2019-06-04
41,10:15:00,15,37,0,0,2019-06-04
42,10:30:00,8,35,0,0,2019-06-04
43,10:45:00,17,30,0,0,2019-06-04
44,11:00:00,17,31,0,0,2019-06-04
45,11:15:00,23,31,0,0,2019-06-04
46,11:30:00,11,26,0,0,2019-06-04
47,11:45:00,26,30,0,0,2019-06-04
48,12:00:00,18,14,0,0,2019-06-04
49,12:15:00,32,21,0,0,2019-06-04
50,12:30:00,20,18,0,0,2019-06-04
51,12:45:00,21,31,0,0,2019-06-04
52,13:00:00,26,24,0,0,2019-06-04
53,13:15:00,13,25,0,0,2019-06-04
54,13:30:00,25,26,0,0,2019-06-04
55,13:45:00,24,20,0,0,2019-06-04
56,14:00:00,48,23,0,0,2019-06-04
57,14:15:00,110,48,0,0,2019-06-04
58,14:30:00,116,67,0,0,2019-06-04
59,14:45:00,124,53,0,0,2019-06-04
60,15:00:00,124,46,0,0,2019-06-04
61,15:15:00,126,53,0,0,2019-06-04
62,15:30:00,151,54,0,0,2019-06-04
63,15:45:00,115,46,0,0,2019-06-04
64,16:00:00,84,47,0,0,2019-06-04
65,16:15:00,114,33,0,0,2019-06-04
66,16:30:00,152,61,0,0,2019-06-04
67,16:45:00,124,44,0,0,2019-06-04
68,17:00:00,141,45,0,0,2019-06-04
69,17:15:00,86,49,0,0,2019-06-04
70,17:30:00,93,47,0,0,2019-06-04
71,17:45:00,110,52,0,0,2019-06-04
72,18:00:00,93,71,0,0,2019-06-04
73,18:15:00,118,51,0,0,2019-06-04
74,18:30:00,147,47,0,0,2019-06-04
75,18:45:00,128,40,0,0,2019-06-04
76,19:00:00,105,35,0,0,2019-06-04
77,19:15:00,76,28,0,0,2019-06-04
78,19:30:00,50,27,0,0,2019-06-04
79,19:45:00,32,28,0,0,2019-06-04
80,20:00:00,28,20,0,0,2019-06-04
81,20:15:00,37,20,0,0,2019-06-04
82,20:30:00,25,13,0,0,2019-06-04
83,20:45:00,26,19,0,0,2019-06-04
84,21:00:00,24,19,0,0,2019-06-04
85,21:15:00,9,12,0,0,2019-06-04
86,21:30:00,15,7,0,0,2019-06-04
87,21:45:00,9,6,0,0,2019-06-04
88,22:00:00,13,5,0,0,2019-06-04
89,22:15:00,20,8,0,0,2019-06-04
90,22:30:00,7,9,0,0,2019-06-04
91,22:45:00,4,5,0,0,2019-06-04
92,23:00:00,2,3,0,0,2019-06-04
93,23:15:00,7,1,0,0,2019-06-04
94,23:30:00,3,1,0,0,2019-06-04
95,23:45:00,4,5,0,0,2019-06-04
96,00:00:00,3,4,0,0,2019-06-05
97,00:15:00,1,0,0,0,2019-06-05
98,00:30:00,0,1,0,0,2019-06-05
99,00:45:00,0,3,0,0,2019-06-05
100,01:00:00,0,0,0,0,2019-06-05
101,01:15:00,1,1,0,0,2019-06-05
102,01:30:00,1,0,0,0,2019-06-05
103,01:45:00,0,1,0,0,2019-06-05
104,02:00:00,1,0,0,0,2019-06-05
105,02:15:00,1,0,0,0,2019-06-05
106,02:30:00,1,0,0,0,2019-06-05
107,02:45:00,0,1,0,0,2019-06-05
108,03:00:00,0,0,0,0,2019-06-05
109,03:15:00,2,0,0,0,2019-06-05
110,03:30:00,0,1,0,0,2019-06-05
111,03:45:00,2,0,0,0,2019-06-05
112,04:00:00,0,1,0,0,2019-06-05
113,04:15:00,0,0,0,0,2019-06-05
114,04:30:00,2,1,0,0,2019-06-05
115,04:45:00,2,5,0,0,2019-06-05
116,05:00:00,5,3,0,0,2019-06-05
117,05:15:00,2,4,0,0,2019-06-05
118,05:30:00,1,9,0,0,2019-06-05
119,05:45:00,3,7,0,0,2019-06-05
120,06:00:00,6,7,0,0,2019-06-05
121,06:15:00,8,11,0,0,2019-06-05
122,06:30:00,6,20,0,0,2019-06-05
123,06:45:00,8,28,0,0,2019-06-05
124,07:00:00,9,37,0,0,2019-06-05
125,07:15:00,20,43,0,0,2019-06-05
126,07:30:00,32,62,0,0,2019-06-05
127,07:45:00,25,79,0,0,2019-06-05
128,08:00:00,23,132,0,0,2019-06-05
129,08:15:00,35,91,0,0,2019-06-05
130,08:30:00,34,79,0,0,2019-06-05
131,08:45:00,37,81,0,0,2019-06-05
132,09:00:00,29,68,0,0,2019-06-05
133,09:15:00,23,69,0,0,2019-06-05
134,09:30:00,22,48,0,0,2019-06-05
135,09:45:00,11,54,0,0,2019-06-05
136,10:00:00,13,57,0,0,2019-06-05
137,10:15:00,26,40,0,0,2019-06-05
138,10:30:00,34,33,0,0,2019-06-05
139,10:45:00,19,33,0,0,2019-06-05
140,11:00:00,15,36,0,0,2019-06-05
141,11:15:00,17,31,0,0,2019-06-05
142,11:30:00,25,35,0,0,2019-06-05
143,11:45:00,28,27,0,0,2019-06-05
144,12:00:00,20,30,0,0,2019-06-05
145,12:15:00,17,24,0,0,2019-06-05
146,12:30:00,22,43,0,0,2019-06-05
147,12:45:00,25,34,0,0,2019-06-05
148,13:00:00,33,42,0,0,2019-06-05
149,13:15:00,30,37,0,0,2019-06-05
150,13:30:00,33,27,0,0,2019-06-05
151,13:45:00,64,45,0,0,2019-06-05
152,14:00:00,83,19,0,0,2019-06-05
153,14:15:00,148,33,0,0,2019-06-05
154,14:30:00,110,54,0,0,2019-06-05
155,14:45:00,99,38,0,0,2019-06-05
156,15:00:00,138,39,0,0,2019-06-05
157,15:15:00,117,47,0,0,2019-06-05
158,15:30:00,135,45,0,0,2019-06-05
159,15:45:00,114,48,0,0,2019-06-05
160,16:00:00,113,46,0,0,2019-06-05
161,16:15:00,86,58,0,0,2019-06-05
162,16:30:00,92,37,0,0,2019-06-05
163,16:45:00,136,37,0,0,2019-06-05
164,17:00:00,106,32,0,0,2019-06-05
165,17:15:00,115,65,0,0,2019-06-05
166,17:30:00,124,67,0,0,2019-06-05
167,17:45:00,84,65,0,0,2019-06-05
168,18:00:00,85,40,0,0,2019-06-05
