Day,Time,Count
 Tuesday -  November 7 -  2017 - Total=1596,21:45,3.0
 Tuesday -  November 7 -  2017 - Total=1596,22:0,5.0
 Tuesday -  November 7 -  2017 - Total=1596,22:15,4.0
 Tuesday -  November 7 -  2017 - Total=1596,22:30,2.0
 Tuesday -  November 7 -  2017 - Total=1596,22:45,2.0
 Tuesday -  November 7 -  2017 - Total=1596,23:0,2.0
 Tuesday -  November 7 -  2017 - Total=1596,23:15,1.0
 Tuesday -  November 7 -  2017 - Total=1596,23:30,0.0
 Tuesday -  November 7 -  2017 - Total=1596,23:45,0.0
 Wednesday -      November 8 -  2017 - Total=1516,0:0,0.0
 Wednesday -      November 8 -  2017 - Total=1516,0:15,1.0
 Wednesday -      November 8 -  2017 - Total=1516,0:30,0.0
 Wednesday -      November 8 -  2017 - Total=1516,0:45,0.0
 Wednesday -      November 8 -  2017 - Total=1516,1:0,0.0
 Wednesday -      November 8 -  2017 - Total=1516,1:15,0.0
 Wednesday -      November 8 -  2017 - Total=1516,1:30,0.0
 Wednesday -      November 8 -  2017 - Total=1516,1:45,1.0
 Wednesday -      November 8 -  2017 - Total=1516,2:0,0.0
 Wednesday -      November 8 -  2017 - Total=1516,2:15,0.0
 Wednesday -      November 8 -  2017 - Total=1516,2:30,0.0
 Wednesday -      November 8 -  2017 - Total=1516,2:45,0.0
 Wednesday -      November 8 -  2017 - Total=1516,3:0,0.0
 Wednesday -      November 8 -  2017 - Total=1516,3:15,0.0
 Wednesday -      November 8 -  2017 - Total=1516,3:30,1.0
 Wednesday -      November 8 -  2017 - Total=1516,3:45,0.0
 Wednesday -      November 8 -  2017 - Total=1516,4:0,0.0
 Wednesday -      November 8 -  2017 - Total=1516,4:15,0.0
 Wednesday -      November 8 -  2017 - Total=1516,4:30,1.0
 Wednesday -      November 8 -  2017 - Total=1516,4:45,2.0
 Wednesday -      November 8 -  2017 - Total=1516,5:0,4.0
 Wednesday -      November 8 -  2017 - Total=1516,5:15,5.0
 Wednesday -      November 8 -  2017 - Total=1516,5:30,3.0
 Wednesday -      November 8 -  2017 - Total=1516,5:45,4.0
 Wednesday -      November 8 -  2017 - Total=1516,6:0,3.0
 Wednesday -      November 8 -  2017 - Total=1516,6:15,6.0
 Wednesday -      November 8 -  2017 - Total=1516,6:30,15.0
 Wednesday -      November 8 -  2017 - Total=1516,6:45,16.0
 Wednesday -      November 8 -  2017 - Total=1516,7:0,21.0
 Wednesday -      November 8 -  2017 - Total=1516,7:15,37.0
 Wednesday -      November 8 -  2017 - Total=1516,7:30,66.0
 Wednesday -      November 8 -  2017 - Total=1516,7:45,61.0
 Wednesday -      November 8 -  2017 - Total=1516,8:0,96.0
 Wednesday -      November 8 -  2017 - Total=1516,8:15,87.0
 Wednesday -      November 8 -  2017 - Total=1516,8:30,34.0
 Wednesday -      November 8 -  2017 - Total=1516,8:45,47.0
 Wednesday -      November 8 -  2017 - Total=1516,9:0,35.0
 Wednesday -      November 8 -  2017 - Total=1516,9:15,29.0
 Wednesday -      November 8 -  2017 - Total=1516,9:30,29.0
 Wednesday -      November 8 -  2017 - Total=1516,9:45,23.0
 Wednesday -      November 8 -  2017 - Total=1516,10:0,22.0
 Wednesday -      November 8 -  2017 - Total=1516,10:15,18.0
 Wednesday -      November 8 -  2017 - Total=1516,10:30,13.0
 Wednesday -      November 8 -  2017 - Total=1516,10:45,20.0
 Wednesday -      November 8 -  2017 - Total=1516,11:0,15.0
 Wednesday -      November 8 -  2017 - Total=1516,11:15,26.0
 Wednesday -      November 8 -  2017 - Total=1516,11:30,22.0
 Wednesday -      November 8 -  2017 - Total=1516,11:45,11.0
 Wednesday -      November 8 -  2017 - Total=1516,12:0,11.0
 Wednesday -      November 8 -  2017 - Total=1516,12:15,16.0
 Wednesday -      November 8 -  2017 - Total=1516,12:30,24.0
 Wednesday -      November 8 -  2017 - Total=1516,12:45,17.0
 Wednesday -      November 8 -  2017 - Total=1516,13:0,0.0
 Wednesday -      November 8 -  2017 - Total=1516,13:15,25.0
 Wednesday -      November 8 -  2017 - Total=1516,13:30,13.0
 Wednesday -      November 8 -  2017 - Total=1516,13:45,21.0
 Wednesday -      November 8 -  2017 - Total=1516,14:0,18.0
 Wednesday -      November 8 -  2017 - Total=1516,14:15,20.0
 Wednesday -      November 8 -  2017 - Total=1516,14:30,26.0
 Wednesday -      November 8 -  2017 - Total=1516,14:45,20.0
 Wednesday -      November 8 -  2017 - Total=1516,15:0,21.0
 Wednesday -      November 8 -  2017 - Total=1516,15:15,15.0
 Wednesday -      November 8 -  2017 - Total=1516,15:30,14.0
 Wednesday -      November 8 -  2017 - Total=1516,15:45,19.0
 Wednesday -      November 8 -  2017 - Total=1516,16:0,24.0
 Wednesday -      November 8 -  2017 - Total=1516,16:15,29.0
 Wednesday -      November 8 -  2017 - Total=1516,16:30,23.0
 Wednesday -      November 8 -  2017 - Total=1516,16:45,29.0
 Wednesday -      November 8 -  2017 - Total=1516,17:0,38.0
 Wednesday -      November 8 -  2017 - Total=1516,17:15,38.0
 Wednesday -      November 8 -  2017 - Total=1516,17:30,30.0
 Wednesday -      November 8 -  2017 - Total=1516,17:45,31.0
 Wednesday -      November 8 -  2017 - Total=1516,18:0,24.0
 Wednesday -      November 8 -  2017 - Total=1516,18:15,25.0
 Wednesday -      November 8 -  2017 - Total=1516,18:30,20.0
 Wednesday -      November 8 -  2017 - Total=1516,18:45,20.0
 Wednesday -      November 8 -  2017 - Total=1516,19:0,22.0
 Wednesday -      November 8 -  2017 - Total=1516,19:15,17.0
 Wednesday -      November 8 -  2017 - Total=1516,19:30,12.0
 Wednesday -      November 8 -  2017 - Total=1516,19:45,6.0
 Wednesday -      November 8 -  2017 - Total=1516,20:0,14.0
 Wednesday -      November 8 -  2017 - Total=1516,20:15,8.0
 Wednesday -      November 8 -  2017 - Total=1516,20:30,3.0
 Wednesday -      November 8 -  2017 - Total=1516,20:45,4.0
 Wednesday -      November 8 -  2017 - Total=1516,21:0,6.0
 Wednesday -      November 8 -  2017 - Total=1516,21:15,9.0
