,Date,TIME,NB,SB,EB,WB
127,2013-02-13,07:45:00,,,346.0,313.0
128,2013-02-13,08:00:00,,,313.0,308.0
129,2013-02-13,08:15:00,,,335.0,326.0
130,2013-02-13,08:30:00,,,369.0,290.0
131,2013-02-13,08:45:00,,,317.0,306.0
132,2013-02-13,09:00:00,,,329.0,235.0
133,2013-02-13,09:15:00,,,311.0,257.0
134,2013-02-13,09:30:00,,,356.0,279.0
135,2013-02-13,09:45:00,,,376.0,275.0
136,2013-02-13,10:00:00,,,342.0,288.0
137,2013-02-13,10:15:00,,,337.0,291.0
138,2013-02-13,10:30:00,,,340.0,282.0
139,2013-02-13,10:45:00,,,387.0,300.0
140,2013-02-13,11:00:00,,,365.0,308.0
141,2013-02-13,11:15:00,,,362.0,324.0
142,2013-02-13,11:30:00,,,385.0,344.0
143,2013-02-13,11:45:00,,,365.0,391.0
144,2013-02-13,12:00:00,,,391.0,447.0
145,2013-02-13,12:15:00,,,398.0,396.0
146,2013-02-13,12:30:00,,,401.0,405.0
147,2013-02-13,12:45:00,,,400.0,400.0
148,2013-02-13,13:00:00,,,374.0,411.0
149,2013-02-13,13:15:00,,,410.0,346.0
150,2013-02-13,13:30:00,,,380.0,367.0
151,2013-02-13,13:45:00,,,382.0,335.0
152,2013-02-13,14:00:00,,,416.0,413.0
153,2013-02-13,14:15:00,,,385.0,418.0
154,2013-02-13,14:30:00,,,414.0,398.0
155,2013-02-13,14:45:00,,,416.0,411.0
156,2013-02-13,15:00:00,,,364.0,433.0
157,2013-02-13,15:15:00,,,364.0,445.0
158,2013-02-13,15:30:00,,,382.0,434.0
159,2013-02-13,15:45:00,,,360.0,414.0
160,2013-02-13,16:00:00,,,382.0,469.0
161,2013-02-13,16:15:00,,,416.0,404.0
162,2013-02-13,16:30:00,,,374.0,378.0
163,2013-02-13,16:45:00,,,436.0,474.0
164,2013-02-13,17:00:00,,,400.0,456.0
165,2013-02-13,17:15:00,,,367.0,460.0
166,2013-02-13,17:30:00,,,364.0,445.0
167,2013-02-13,17:45:00,,,351.0,376.0
168,2013-02-13,18:00:00,,,344.0,328.0
169,2013-02-13,18:15:00,,,337.0,328.0
170,2013-02-13,18:30:00,,,304.0,346.0
171,2013-02-13,18:45:00,,,266.0,237.0
172,2013-02-13,19:00:00,,,283.0,268.0
173,2013-02-13,19:15:00,,,247.0,243.0
174,2013-02-13,19:30:00,,,250.0,250.0
175,2013-02-13,19:45:00,,,211.0,197.0
176,2013-02-13,20:00:00,,,193.0,212.0
177,2013-02-13,20:15:00,,,212.0,217.0
178,2013-02-13,20:30:00,,,164.0,170.0
179,2013-02-13,20:45:00,,,157.0,174.0
180,2013-02-13,21:00:00,,,137.0,161.0
181,2013-02-13,21:15:00,,,130.0,132.0
182,2013-02-13,21:30:00,,,106.0,159.0
183,2013-02-13,21:45:00,,,115.0,130.0
184,2013-02-13,22:00:00,,,113.0,94.0
185,2013-02-13,22:15:00,,,90.0,83.0
186,2013-02-13,22:30:00,,,94.0,83.0
187,2013-02-13,22:45:00,,,47.0,69.0
188,2013-02-13,23:00:00,,,77.0,54.0
189,2013-02-13,23:15:00,,,36.0,52.0
190,2013-02-13,23:30:00,,,25.0,42.0
191,2013-02-13,23:45:00,,,31.0,49.0
192,2013-02-14,00:00:00,,,24.0,48.0
193,2013-02-14,00:15:00,,,31.0,29.0
194,2013-02-14,00:30:00,,,15.0,14.0
195,2013-02-14,00:45:00,,,24.0,18.0
196,2013-02-14,01:00:00,,,13.0,23.0
197,2013-02-14,01:15:00,,,15.0,13.0
198,2013-02-14,01:30:00,,,18.0,14.0
199,2013-02-14,01:45:00,,,13.0,9.0
200,2013-02-14,02:00:00,,,9.0,18.0
201,2013-02-14,02:15:00,,,11.0,14.0
202,2013-02-14,02:30:00,,,18.0,13.0
203,2013-02-14,02:45:00,,,13.0,4.0
204,2013-02-14,03:00:00,,,9.0,11.0
205,2013-02-14,03:15:00,,,25.0,5.0
206,2013-02-14,03:30:00,,,25.0,5.0
207,2013-02-14,03:45:00,,,16.0,23.0
208,2013-02-14,04:00:00,,,11.0,5.0
209,2013-02-14,04:15:00,,,18.0,9.0
210,2013-02-14,04:30:00,,,25.0,11.0
211,2013-02-14,04:45:00,,,55.0,21.0
212,2013-02-14,05:00:00,,,35.0,25.0
213,2013-02-14,05:15:00,,,49.0,34.0
214,2013-02-14,05:30:00,,,86.0,57.0
215,2013-02-14,05:45:00,,,102.0,55.0
216,2013-02-14,06:00:00,,,100.0,79.0
217,2013-02-14,06:15:00,,,131.0,132.0
218,2013-02-14,06:30:00,,,191.0,129.0
219,2013-02-14,06:45:00,,,222.0,159.0
220,2013-02-14,07:00:00,,,246.0,165.0
221,2013-02-14,07:15:00,,,268.0,218.0
222,2013-02-14,07:30:00,,,302.0,206.0
223,2013-02-14,07:45:00,,,353.0,311.0
224,2013-02-14,08:00:00,,,329.0,362.0
225,2013-02-14,08:15:00,,,349.0,301.0
226,2013-02-14,08:30:00,,,386.0,303.0
227,2013-02-14,08:45:00,,,329.0,274.0
228,2013-02-14,09:00:00,,,349.0,222.0
229,2013-02-14,09:15:00,,,309.0,297.0
230,2013-02-14,09:30:00,,,348.0,240.0
231,2013-02-14,09:45:00,,,362.0,303.0
232,2013-02-14,10:00:00,,,340.0,252.0
233,2013-02-14,10:15:00,,,340.0,267.0
234,2013-02-14,10:30:00,,,339.0,319.0
235,2013-02-14,10:45:00,,,348.0,337.0
236,2013-02-14,11:00:00,,,384.0,322.0
237,2013-02-14,11:15:00,,,397.0,363.0
238,2013-02-14,11:30:00,,,393.0,363.0
239,2013-02-14,11:45:00,,,389.0,347.0
240,2013-02-14,12:00:00,,,430.0,424.0
241,2013-02-14,12:15:00,,,328.0,437.0
242,2013-02-14,12:30:00,,,415.0,383.0
243,2013-02-14,12:45:00,,,424.0,372.0
244,2013-02-14,13:00:00,,,411.0,397.0
245,2013-02-14,13:15:00,,,375.0,399.0
246,2013-02-14,13:30:00,,,348.0,374.0
247,2013-02-14,13:45:00,,,395.0,406.0
248,2013-02-14,14:00:00,,,404.0,367.0
249,2013-02-14,14:15:00,,,417.0,387.0
250,2013-02-14,14:30:00,,,408.0,345.0
251,2013-02-14,14:45:00,,,417.0,405.0
252,2013-02-14,15:00:00,,,377.0,422.0
253,2013-02-14,15:15:00,,,339.0,435.0
254,2013-02-14,15:30:00,,,364.0,417.0
255,2013-02-14,15:45:00,,,329.0,410.0
256,2013-02-14,16:00:00,,,439.0,474.0
257,2013-02-14,16:15:00,,,419.0,446.0
258,2013-02-14,16:30:00,,,362.0,453.0
259,2013-02-14,16:45:00,,,408.0,458.0
260,2013-02-14,17:00:00,,,369.0,464.0
261,2013-02-14,17:15:00,,,395.0,455.0
262,2013-02-14,17:30:00,,,431.0,401.0
263,2013-02-14,17:45:00,,,413.0,406.0
264,2013-02-14,18:00:00,,,375.0,396.0
265,2013-02-14,18:15:00,,,402.0,292.0
266,2013-02-14,18:30:00,,,329.0,331.0
267,2013-02-14,18:45:00,,,293.0,272.0
268,2013-02-14,19:00:00,,,300.0,270.0
269,2013-02-14,19:15:00,,,222.0,292.0
270,2013-02-14,19:30:00,,,224.0,202.0
271,2013-02-14,19:45:00,,,217.0,226.0
272,2013-02-14,20:00:00,,,258.0,208.0
273,2013-02-14,20:15:00,,,184.0,229.0
274,2013-02-14,20:30:00,,,198.0,206.0
275,2013-02-14,20:45:00,,,135.0,179.0
276,2013-02-14,21:00:00,,,153.0,188.0
277,2013-02-14,21:15:00,,,137.0,179.0
278,2013-02-14,21:30:00,,,115.0,136.0
279,2013-02-14,21:45:00,,,98.0,111.0
280,2013-02-14,22:00:00,,,86.0,115.0
281,2013-02-14,22:15:00,,,80.0,88.0
282,2013-02-14,22:30:00,,,49.0,64.0
283,2013-02-14,22:45:00,,,69.0,70.0
284,2013-02-14,23:00:00,,,60.0,57.0
285,2013-02-14,23:15:00,,,56.0,52.0
286,2013-02-14,23:30:00,,,46.0,50.0
287,2013-02-14,23:45:00,,,38.0,38.0
288,2013-02-15,00:00:00,,,,
289,2013-02-15,00:15:00,,,,
290,2013-02-15,00:30:00,,,,
291,2013-02-15,00:45:00,,,,
292,2013-02-15,01:00:00,,,,
293,2013-02-15,01:15:00,,,,
294,2013-02-15,01:30:00,,,,
295,2013-02-15,01:45:00,,,,
296,2013-02-15,02:00:00,,,,
297,2013-02-15,02:15:00,,,,
298,2013-02-15,02:30:00,,,,
299,2013-02-15,02:45:00,,,,
300,2013-02-15,03:00:00,,,,
301,2013-02-15,03:15:00,,,,
302,2013-02-15,03:30:00,,,,
303,2013-02-15,03:45:00,,,,
304,2013-02-15,04:00:00,,,,
305,2013-02-15,04:15:00,,,,
306,2013-02-15,04:30:00,,,,
307,2013-02-15,04:45:00,,,,
308,2013-02-15,05:00:00,,,,
309,2013-02-15,05:15:00,,,,
310,2013-02-15,05:30:00,,,,
311,2013-02-15,05:45:00,,,,
312,2013-02-15,06:00:00,,,,
313,2013-02-15,06:15:00,,,,
314,2013-02-15,06:30:00,,,,
315,2013-02-15,06:45:00,,,,
316,2013-02-15,07:00:00,,,,
317,2013-02-15,07:15:00,,,,
318,2013-02-15,07:30:00,,,,
319,2013-02-15,07:45:00,,,,
320,2013-02-15,08:00:00,,,,
321,2013-02-15,08:15:00,,,,
322,2013-02-15,08:30:00,,,,
323,2013-02-15,08:45:00,,,,
324,2013-02-15,09:00:00,,,,
325,2013-02-15,09:15:00,,,,
326,2013-02-15,09:30:00,,,,
327,2013-02-15,09:45:00,,,,
328,2013-02-15,10:00:00,,,,
329,2013-02-15,10:15:00,,,,
330,2013-02-15,10:30:00,,,,
331,2013-02-15,10:45:00,,,,
332,2013-02-15,11:00:00,,,,
333,2013-02-15,11:15:00,,,,
334,2013-02-15,11:30:00,,,,
335,2013-02-15,11:45:00,,,,
336,2013-02-15,12:00:00,,,,
337,2013-02-15,12:15:00,,,,
338,2013-02-15,12:30:00,,,,
339,2013-02-15,12:45:00,,,,
340,2013-02-15,13:00:00,,,,
341,2013-02-15,13:15:00,,,,
342,2013-02-15,13:30:00,,,,
343,2013-02-15,13:45:00,,,,
344,2013-02-15,14:00:00,,,,
345,2013-02-15,14:15:00,,,,
346,2013-02-15,14:30:00,,,,
347,2013-02-15,14:45:00,,,,
348,2013-02-15,15:00:00,,,,
349,2013-02-15,15:15:00,,,,
350,2013-02-15,15:30:00,,,,
351,2013-02-15,15:45:00,,,,
352,2013-02-15,16:00:00,,,,
353,2013-02-15,16:15:00,,,,
354,2013-02-15,16:30:00,,,,
355,2013-02-15,16:45:00,,,,
356,2013-02-15,17:00:00,,,,
357,2013-02-15,17:15:00,,,,
358,2013-02-15,17:30:00,,,,
359,2013-02-15,17:45:00,,,,
360,2013-02-15,18:00:00,,,,
361,2013-02-15,18:15:00,,,,
362,2013-02-15,18:30:00,,,,
363,2013-02-15,18:45:00,,,,
364,2013-02-15,19:00:00,,,,
365,2013-02-15,19:15:00,,,,
366,2013-02-15,19:30:00,,,,
367,2013-02-15,19:45:00,,,,
368,2013-02-15,20:00:00,,,,
369,2013-02-15,20:15:00,,,,
370,2013-02-15,20:30:00,,,,
371,2013-02-15,20:45:00,,,,
372,2013-02-15,21:00:00,,,,
373,2013-02-15,21:15:00,,,,
374,2013-02-15,21:30:00,,,,
375,2013-02-15,21:45:00,,,,
376,2013-02-15,22:00:00,,,,
377,2013-02-15,22:15:00,,,,
378,2013-02-15,22:30:00,,,,
379,2013-02-15,22:45:00,,,,
380,2013-02-15,23:00:00,,,,
381,2013-02-15,23:15:00,,,,
382,2013-02-15,23:30:00,,,,
383,2013-02-15,23:45:00,,,,
384,2013-02-16,00:00:00,,,,
385,2013-02-16,00:15:00,,,,
386,2013-02-16,00:30:00,,,,
387,2013-02-16,00:45:00,,,,
388,2013-02-16,01:00:00,,,,
389,2013-02-16,01:15:00,,,,
390,2013-02-16,01:30:00,,,,
391,2013-02-16,01:45:00,,,,
392,2013-02-16,02:00:00,,,,
393,2013-02-16,02:15:00,,,,
394,2013-02-16,02:30:00,,,,
395,2013-02-16,02:45:00,,,,
396,2013-02-16,03:00:00,,,,
397,2013-02-16,03:15:00,,,,
398,2013-02-16,03:30:00,,,,
399,2013-02-16,03:45:00,,,,
400,2013-02-16,04:00:00,,,,
401,2013-02-16,04:15:00,,,,
402,2013-02-16,04:30:00,,,,
403,2013-02-16,04:45:00,,,,
404,2013-02-16,05:00:00,,,,
405,2013-02-16,05:15:00,,,,
406,2013-02-16,05:30:00,,,,
407,2013-02-16,05:45:00,,,,
408,2013-02-16,06:00:00,,,,
409,2013-02-16,06:15:00,,,,
410,2013-02-16,06:30:00,,,,
411,2013-02-16,06:45:00,,,,
412,2013-02-16,07:00:00,,,,
413,2013-02-16,07:15:00,,,,
414,2013-02-16,07:30:00,,,,
415,2013-02-16,07:45:00,,,,
416,2013-02-16,08:00:00,,,,
417,2013-02-16,08:15:00,,,,
418,2013-02-16,08:30:00,,,,
419,2013-02-16,08:45:00,,,,
420,2013-02-16,09:00:00,,,,
421,2013-02-16,09:15:00,,,,
422,2013-02-16,09:30:00,,,,
