,Date,TIME,NB,SB,EB,WB
552,2013-02-17,18:00:00,,,,
553,2013-02-17,18:15:00,,,,
554,2013-02-17,18:30:00,,,,
555,2013-02-17,18:45:00,,,,
556,2013-02-17,19:00:00,,,,
557,2013-02-17,19:15:00,,,,
558,2013-02-17,19:30:00,,,,
559,2013-02-17,19:45:00,,,,
560,2013-02-17,20:00:00,,,,
561,2013-02-17,20:15:00,,,,
562,2013-02-17,20:30:00,,,,
563,2013-02-17,20:45:00,,,,
564,2013-02-17,21:00:00,,,,
565,2013-02-17,21:15:00,,,,
566,2013-02-17,21:30:00,,,,
567,2013-02-17,21:45:00,,,,
568,2013-02-17,22:00:00,,,,
569,2013-02-17,22:15:00,,,,
570,2013-02-17,22:30:00,,,,
571,2013-02-17,22:45:00,,,,
572,2013-02-17,23:00:00,,,,
573,2013-02-17,23:15:00,,,,
574,2013-02-17,23:30:00,,,,
575,2013-02-17,23:45:00,,,,
576,2013-02-18,00:00:00,,,,
577,2013-02-18,00:15:00,,,,
578,2013-02-18,00:30:00,,,,
579,2013-02-18,00:45:00,,,,
580,2013-02-18,01:00:00,,,,
581,2013-02-18,01:15:00,,,,
582,2013-02-18,01:30:00,,,,
583,2013-02-18,01:45:00,,,,
584,2013-02-18,02:00:00,,,,
585,2013-02-18,02:15:00,,,,
586,2013-02-18,02:30:00,,,,
587,2013-02-18,02:45:00,,,,
588,2013-02-18,03:00:00,,,,
589,2013-02-18,03:15:00,,,,
590,2013-02-18,03:30:00,,,,
591,2013-02-18,03:45:00,,,,
592,2013-02-18,04:00:00,,,,
593,2013-02-18,04:15:00,,,,
594,2013-02-18,04:30:00,,,,
595,2013-02-18,04:45:00,,,,
596,2013-02-18,05:00:00,,,,
597,2013-02-18,05:15:00,,,,
598,2013-02-18,05:30:00,,,,
599,2013-02-18,05:45:00,,,,
600,2013-02-18,06:00:00,,,,
601,2013-02-18,06:15:00,,,,
602,2013-02-18,06:30:00,,,,
603,2013-02-18,06:45:00,,,,
604,2013-02-18,07:00:00,,,,
605,2013-02-18,07:15:00,,,,
606,2013-02-18,07:30:00,,,,
607,2013-02-18,07:45:00,,,,
608,2013-02-18,08:00:00,,,,
609,2013-02-18,08:15:00,,,,
610,2013-02-18,08:30:00,,,,
611,2013-02-18,08:45:00,,,,
612,2013-02-18,09:00:00,,,,
613,2013-02-18,09:15:00,,,,
614,2013-02-18,09:30:00,,,,
615,2013-02-18,09:45:00,,,,
616,2013-02-18,10:00:00,,,,
617,2013-02-18,10:15:00,,,,
618,2013-02-18,10:30:00,,,,
619,2013-02-18,10:45:00,,,,
620,2013-02-18,11:00:00,,,,
621,2013-02-18,11:15:00,,,,
622,2013-02-18,11:30:00,,,,
623,2013-02-18,11:45:00,,,,
624,2013-02-18,12:00:00,,,,
625,2013-02-18,12:15:00,,,,
626,2013-02-18,12:30:00,,,,
627,2013-02-18,12:45:00,,,,
628,2013-02-18,13:00:00,,,,
629,2013-02-18,13:15:00,,,,
630,2013-02-18,13:30:00,,,,
631,2013-02-18,13:45:00,,,,
632,2013-02-18,14:00:00,,,,
633,2013-02-18,14:15:00,,,,
634,2013-02-18,14:30:00,,,,
635,2013-02-18,14:45:00,,,,
636,2013-02-18,15:00:00,,,,
637,2013-02-18,15:15:00,,,,
638,2013-02-18,15:30:00,,,,
639,2013-02-18,15:45:00,,,,
640,2013-02-18,16:00:00,,,,
