,Date,Time,WB,EB
111,2017-04-05 00:00:00,03:45:00,2,1
112,2017-04-05 00:00:00,04:00:00,1,1
113,2017-04-05 00:00:00,04:15:00,0,2
114,2017-04-05 00:00:00,04:30:00,11,3
115,2017-04-05 00:00:00,04:45:00,19,3
116,2017-04-05 00:00:00,05:00:00,1,1
117,2017-04-05 00:00:00,05:15:00,5,2
118,2017-04-05 00:00:00,05:30:00,13,6
119,2017-04-05 00:00:00,05:45:00,7,6
120,2017-04-05 00:00:00,06:00:00,5,3
121,2017-04-05 00:00:00,06:15:00,16,5
122,2017-04-05 00:00:00,06:30:00,6,13
123,2017-04-05 00:00:00,06:45:00,9,17
124,2017-04-05 00:00:00,07:00:00,11,15
125,2017-04-05 00:00:00,07:15:00,17,17
126,2017-04-05 00:00:00,07:30:00,20,16
127,2017-04-05 00:00:00,07:45:00,23,20
128,2017-04-05 00:00:00,08:00:00,29,26
129,2017-04-05 00:00:00,08:15:00,26,15
130,2017-04-05 00:00:00,08:30:00,27,19
131,2017-04-05 00:00:00,08:45:00,34,18
132,2017-04-05 00:00:00,09:00:00,29,23
133,2017-04-05 00:00:00,09:15:00,20,18
134,2017-04-05 00:00:00,09:30:00,23,18
135,2017-04-05 00:00:00,09:45:00,21,15
136,2017-04-05 00:00:00,10:00:00,20,15
137,2017-04-05 00:00:00,10:15:00,13,12
138,2017-04-05 00:00:00,10:30:00,16,11
139,2017-04-05 00:00:00,10:45:00,16,16
140,2017-04-05 00:00:00,11:00:00,22,5
141,2017-04-05 00:00:00,11:15:00,12,8
142,2017-04-05 00:00:00,11:30:00,18,17
143,2017-04-05 00:00:00,11:45:00,22,29
144,2017-04-05 00:00:00,12:00:00,31,13
145,2017-04-05 00:00:00,12:15:00,17,19
146,2017-04-05 00:00:00,12:30:00,19,14
147,2017-04-05 00:00:00,12:45:00,19,18
148,2017-04-05 00:00:00,13:00:00,22,26
149,2017-04-05 00:00:00,13:15:00,33,27
150,2017-04-05 00:00:00,13:30:00,23,24
151,2017-04-05 00:00:00,13:45:00,29,25
152,2017-04-05 00:00:00,14:00:00,25,19
153,2017-04-05 00:00:00,14:15:00,21,19
154,2017-04-05 00:00:00,14:30:00,30,11
155,2017-04-05 00:00:00,14:45:00,20,19
156,2017-04-05 00:00:00,15:00:00,29,10
157,2017-04-05 00:00:00,15:15:00,14,17
158,2017-04-05 00:00:00,15:30:00,32,11
159,2017-04-05 00:00:00,15:45:00,25,13
160,2017-04-05 00:00:00,16:00:00,33,13
161,2017-04-05 00:00:00,16:15:00,21,9
162,2017-04-05 00:00:00,16:30:00,35,18
163,2017-04-05 00:00:00,16:45:00,21,27
164,2017-04-05 00:00:00,17:00:00,47,17
165,2017-04-05 00:00:00,17:15:00,28,15
166,2017-04-05 00:00:00,17:30:00,16,19
167,2017-04-05 00:00:00,17:45:00,24,18
168,2017-04-05 00:00:00,18:00:00,24,11
169,2017-04-05 00:00:00,18:15:00,14,9
170,2017-04-05 00:00:00,18:30:00,23,12
171,2017-04-05 00:00:00,18:45:00,13,16
172,2017-04-05 00:00:00,19:00:00,13,10
173,2017-04-05 00:00:00,19:15:00,11,9
174,2017-04-05 00:00:00,19:30:00,12,15
175,2017-04-05 00:00:00,19:45:00,6,8
176,2017-04-05 00:00:00,20:00:00,11,5
177,2017-04-05 00:00:00,20:15:00,6,9
178,2017-04-05 00:00:00,20:30:00,7,2
179,2017-04-05 00:00:00,20:45:00,4,4
180,2017-04-05 00:00:00,21:00:00,10,3
181,2017-04-05 00:00:00,21:15:00,10,4
182,2017-04-05 00:00:00,21:30:00,14,2
183,2017-04-05 00:00:00,21:45:00,8,3
184,2017-04-05 00:00:00,22:00:00,7,3
185,2017-04-05 00:00:00,22:15:00,3,6
186,2017-04-05 00:00:00,22:30:00,8,2
187,2017-04-05 00:00:00,22:45:00,5,3
188,2017-04-05 00:00:00,23:00:00,9,3
189,2017-04-05 00:00:00,23:15:00,3,2
190,2017-04-05 00:00:00,23:30:00,2,1
191,2017-04-05 00:00:00,23:45:00,1,1
192,2017-04-06 00:00:00,00:00:00,5,1
193,2017-04-06 00:00:00,00:15:00,8,0
194,2017-04-06 00:00:00,00:30:00,3,2
195,2017-04-06 00:00:00,00:45:00,4,1
196,2017-04-06 00:00:00,01:00:00,4,2
197,2017-04-06 00:00:00,01:15:00,3,0
198,2017-04-06 00:00:00,01:30:00,1,0
199,2017-04-06 00:00:00,01:45:00,3,0
200,2017-04-06 00:00:00,02:00:00,2,1
201,2017-04-06 00:00:00,02:15:00,0,1
202,2017-04-06 00:00:00,02:30:00,5,2
203,2017-04-06 00:00:00,02:45:00,3,2
204,2017-04-06 00:00:00,03:00:00,2,0
205,2017-04-06 00:00:00,03:15:00,0,0
206,2017-04-06 00:00:00,03:30:00,1,0
207,2017-04-06 00:00:00,03:45:00,4,1
208,2017-04-06 00:00:00,04:00:00,3,2
209,2017-04-06 00:00:00,04:15:00,1,1
210,2017-04-06 00:00:00,04:30:00,14,1
211,2017-04-06 00:00:00,04:45:00,22,3
212,2017-04-06 00:00:00,05:00:00,9,2
213,2017-04-06 00:00:00,05:15:00,9,3
214,2017-04-06 00:00:00,05:30:00,15,11
215,2017-04-06 00:00:00,05:45:00,10,11
216,2017-04-06 00:00:00,06:00:00,7,11
217,2017-04-06 00:00:00,06:15:00,11,13
218,2017-04-06 00:00:00,06:30:00,2,14
219,2017-04-06 00:00:00,06:45:00,9,9
220,2017-04-06 00:00:00,07:00:00,11,14
221,2017-04-06 00:00:00,07:15:00,17,24
222,2017-04-06 00:00:00,07:30:00,21,11
223,2017-04-06 00:00:00,07:45:00,26,24
224,2017-04-06 00:00:00,08:00:00,17,24
225,2017-04-06 00:00:00,08:15:00,25,21
226,2017-04-06 00:00:00,08:30:00,29,13
227,2017-04-06 00:00:00,08:45:00,23,21
228,2017-04-06 00:00:00,09:00:00,36,19
229,2017-04-06 00:00:00,09:15:00,24,19
230,2017-04-06 00:00:00,09:30:00,22,14
231,2017-04-06 00:00:00,09:45:00,17,20
232,2017-04-06 00:00:00,10:00:00,23,17
233,2017-04-06 00:00:00,10:15:00,22,9
234,2017-04-06 00:00:00,10:30:00,12,12
235,2017-04-06 00:00:00,10:45:00,28,16
236,2017-04-06 00:00:00,11:00:00,16,22
237,2017-04-06 00:00:00,11:15:00,17,22
238,2017-04-06 00:00:00,11:30:00,17,14
239,2017-04-06 00:00:00,11:45:00,21,18
240,2017-04-06 00:00:00,12:00:00,29,17
241,2017-04-06 00:00:00,12:15:00,15,14
242,2017-04-06 00:00:00,12:30:00,37,18
243,2017-04-06 00:00:00,12:45:00,26,17
244,2017-04-06 00:00:00,13:00:00,21,21
245,2017-04-06 00:00:00,13:15:00,28,23
246,2017-04-06 00:00:00,13:30:00,19,23
247,2017-04-06 00:00:00,13:45:00,25,25
248,2017-04-06 00:00:00,14:00:00,24,20
249,2017-04-06 00:00:00,14:15:00,23,17
250,2017-04-06 00:00:00,14:30:00,24,17
251,2017-04-06 00:00:00,14:45:00,18,9
252,2017-04-06 00:00:00,15:00:00,19,11
253,2017-04-06 00:00:00,15:15:00,30,15
254,2017-04-06 00:00:00,15:30:00,29,14
255,2017-04-06 00:00:00,15:45:00,30,10
256,2017-04-06 00:00:00,16:00:00,28,7
257,2017-04-06 00:00:00,16:15:00,19,18
258,2017-04-06 00:00:00,16:30:00,34,23
259,2017-04-06 00:00:00,16:45:00,28,30
260,2017-04-06 00:00:00,17:00:00,54,27
261,2017-04-06 00:00:00,17:15:00,27,16
262,2017-04-06 00:00:00,17:30:00,26,25
263,2017-04-06 00:00:00,17:45:00,17,24
264,2017-04-06 00:00:00,18:00:00,20,13
265,2017-04-06 00:00:00,18:15:00,28,13
266,2017-04-06 00:00:00,18:30:00,26,11
267,2017-04-06 00:00:00,18:45:00,23,15
268,2017-04-06 00:00:00,19:00:00,16,11
269,2017-04-06 00:00:00,19:15:00,8,9
270,2017-04-06 00:00:00,19:30:00,11,18
271,2017-04-06 00:00:00,19:45:00,13,10
272,2017-04-06 00:00:00,20:00:00,10,6
273,2017-04-06 00:00:00,20:15:00,6,5
