,Date,Time,WB,EB
111,2017-05-17 00:00:00,03:45:00,0,0
112,2017-05-17 00:00:00,04:00:00,0,1
113,2017-05-17 00:00:00,04:15:00,0,0
114,2017-05-17 00:00:00,04:30:00,0,0
115,2017-05-17 00:00:00,04:45:00,0,0
116,2017-05-17 00:00:00,05:00:00,1,0
117,2017-05-17 00:00:00,05:15:00,1,0
118,2017-05-17 00:00:00,05:30:00,0,2
119,2017-05-17 00:00:00,05:45:00,0,0
120,2017-05-17 00:00:00,06:00:00,0,1
121,2017-05-17 00:00:00,06:15:00,2,3
122,2017-05-17 00:00:00,06:30:00,4,3
123,2017-05-17 00:00:00,06:45:00,1,4
124,2017-05-17 00:00:00,07:00:00,3,2
125,2017-05-17 00:00:00,07:15:00,5,9
126,2017-05-17 00:00:00,07:30:00,7,11
127,2017-05-17 00:00:00,07:45:00,20,16
128,2017-05-17 00:00:00,08:00:00,21,24
129,2017-05-17 00:00:00,08:15:00,21,18
130,2017-05-17 00:00:00,08:30:00,12,19
131,2017-05-17 00:00:00,08:45:00,10,22
132,2017-05-17 00:00:00,09:00:00,12,26
133,2017-05-17 00:00:00,09:15:00,14,28
134,2017-05-17 00:00:00,09:30:00,15,12
135,2017-05-17 00:00:00,09:45:00,7,9
136,2017-05-17 00:00:00,10:00:00,8,8
137,2017-05-17 00:00:00,10:15:00,12,4
138,2017-05-17 00:00:00,10:30:00,15,5
139,2017-05-17 00:00:00,10:45:00,17,9
140,2017-05-17 00:00:00,11:00:00,13,11
141,2017-05-17 00:00:00,11:15:00,12,14
142,2017-05-17 00:00:00,11:30:00,11,15
143,2017-05-17 00:00:00,11:45:00,17,16
144,2017-05-17 00:00:00,12:00:00,13,11
145,2017-05-17 00:00:00,12:15:00,11,9
146,2017-05-17 00:00:00,12:30:00,7,10
147,2017-05-17 00:00:00,12:45:00,13,10
148,2017-05-17 00:00:00,13:00:00,12,9
149,2017-05-17 00:00:00,13:15:00,15,11
150,2017-05-17 00:00:00,13:30:00,11,8
151,2017-05-17 00:00:00,13:45:00,12,10
152,2017-05-17 00:00:00,14:00:00,28,13
153,2017-05-17 00:00:00,14:15:00,27,20
154,2017-05-17 00:00:00,14:30:00,44,16
155,2017-05-17 00:00:00,14:45:00,36,13
156,2017-05-17 00:00:00,15:00:00,25,24
157,2017-05-17 00:00:00,15:15:00,27,21
158,2017-05-17 00:00:00,15:30:00,32,20
159,2017-05-17 00:00:00,15:45:00,38,40
160,2017-05-17 00:00:00,16:00:00,28,13
161,2017-05-17 00:00:00,16:15:00,22,19
162,2017-05-17 00:00:00,16:30:00,27,23
163,2017-05-17 00:00:00,16:45:00,30,20
164,2017-05-17 00:00:00,17:00:00,23,24
165,2017-05-17 00:00:00,17:15:00,35,28
166,2017-05-17 00:00:00,17:30:00,38,20
167,2017-05-17 00:00:00,17:45:00,28,21
168,2017-05-17 00:00:00,18:00:00,49,22
169,2017-05-17 00:00:00,18:15:00,42,21
170,2017-05-17 00:00:00,18:30:00,18,17
171,2017-05-17 00:00:00,18:45:00,22,15
172,2017-05-17 00:00:00,19:00:00,22,15
173,2017-05-17 00:00:00,19:15:00,15,15
174,2017-05-17 00:00:00,19:30:00,15,16
175,2017-05-17 00:00:00,19:45:00,10,17
176,2017-05-17 00:00:00,20:00:00,15,6
177,2017-05-17 00:00:00,20:15:00,7,12
178,2017-05-17 00:00:00,20:30:00,6,3
179,2017-05-17 00:00:00,20:45:00,6,6
180,2017-05-17 00:00:00,21:00:00,10,4
181,2017-05-17 00:00:00,21:15:00,6,11
182,2017-05-17 00:00:00,21:30:00,7,4
183,2017-05-17 00:00:00,21:45:00,1,2
