,Unnamed: 1,TIME,NB,SB,EB,WB
0,2013-02-05,00:00:00,6.0,2.0,,
1,2013-02-05,00:15:00,0.0,1.0,,
2,2013-02-05,00:30:00,1.0,0.0,,
3,2013-02-05,00:45:00,0.0,1.0,,
4,2013-02-05,01:00:00,19.0,2.0,,
5,2013-02-05,01:15:00,3.0,0.0,,
6,2013-02-05,01:30:00,1.0,1.0,,
7,2013-02-05,01:45:00,1.0,0.0,,
8,2013-02-05,02:00:00,1.0,1.0,,
9,2013-02-05,02:15:00,0.0,0.0,,
10,2013-02-05,02:30:00,1.0,1.0,,
11,2013-02-05,02:45:00,0.0,1.0,,
12,2013-02-05,03:00:00,0.0,3.0,,
13,2013-02-05,03:15:00,0.0,2.0,,
14,2013-02-05,03:30:00,0.0,0.0,,
15,2013-02-05,03:45:00,1.0,0.0,,
16,2013-02-05,04:00:00,1.0,4.0,,
17,2013-02-05,04:15:00,0.0,5.0,,
18,2013-02-05,04:30:00,0.0,4.0,,
19,2013-02-05,04:45:00,5.0,4.0,,
20,2013-02-05,05:00:00,6.0,7.0,,
21,2013-02-05,05:15:00,5.0,13.0,,
22,2013-02-05,05:30:00,8.0,16.0,,
23,2013-02-05,05:45:00,11.0,19.0,,
24,2013-02-05,06:00:00,19.0,4.0,,
25,2013-02-05,06:15:00,10.0,16.0,,
26,2013-02-05,06:30:00,16.0,15.0,,
27,2013-02-05,06:45:00,13.0,14.0,,
28,2013-02-05,07:00:00,9.0,14.0,,
29,2013-02-05,07:15:00,11.0,22.0,,
30,2013-02-05,07:30:00,26.0,17.0,,
31,2013-02-05,07:45:00,23.0,53.0,,
32,2013-02-05,08:00:00,33.0,30.0,,
33,2013-02-05,08:15:00,35.0,15.0,,
34,2013-02-05,08:30:00,35.0,19.0,,
35,2013-02-05,08:45:00,31.0,32.0,,
36,2013-02-05,09:00:00,40.0,21.0,,
37,2013-02-05,09:15:00,43.0,26.0,,
38,2013-02-05,09:30:00,24.0,29.0,,
39,2013-02-05,09:45:00,43.0,24.0,,
40,2013-02-05,10:00:00,38.0,27.0,,
41,2013-02-05,10:15:00,30.0,33.0,,
42,2013-02-05,10:30:00,36.0,30.0,,
43,2013-02-05,10:45:00,24.0,31.0,,
44,2013-02-05,11:00:00,28.0,28.0,,
45,2013-02-05,11:15:00,39.0,32.0,,
46,2013-02-05,11:30:00,41.0,17.0,,
47,2013-02-05,11:45:00,66.0,26.0,,
48,2013-02-05,12:00:00,49.0,35.0,,
49,2013-02-05,12:15:00,44.0,32.0,,
50,2013-02-05,12:30:00,33.0,28.0,,
51,2013-02-05,12:45:00,41.0,44.0,,
52,2013-02-05,13:00:00,33.0,46.0,,
53,2013-02-05,13:15:00,39.0,33.0,,
54,2013-02-05,13:30:00,29.0,24.0,,
55,2013-02-05,13:45:00,40.0,25.0,,
56,2013-02-05,14:00:00,35.0,21.0,,
57,2013-02-05,14:15:00,48.0,29.0,,
58,2013-02-05,14:30:00,36.0,24.0,,
59,2013-02-05,14:45:00,36.0,16.0,,
60,2013-02-05,15:00:00,71.0,19.0,,
61,2013-02-05,15:15:00,43.0,34.0,,
62,2013-02-05,15:30:00,63.0,26.0,,
63,2013-02-05,15:45:00,30.0,36.0,,
64,2013-02-05,16:00:00,46.0,33.0,,
65,2013-02-05,16:15:00,53.0,29.0,,
66,2013-02-05,16:30:00,48.0,23.0,,
67,2013-02-05,16:45:00,34.0,20.0,,
68,2013-02-05,17:00:00,60.0,16.0,,
69,2013-02-05,17:15:00,20.0,23.0,,
70,2013-02-05,17:30:00,23.0,22.0,,
71,2013-02-05,17:45:00,15.0,8.0,,
72,2013-02-05,18:00:00,19.0,12.0,,
73,2013-02-05,18:15:00,16.0,6.0,,
74,2013-02-05,18:30:00,5.0,5.0,,
75,2013-02-05,18:45:00,6.0,2.0,,
76,2013-02-05,19:00:00,10.0,4.0,,
77,2013-02-05,19:15:00,4.0,7.0,,
78,2013-02-05,19:30:00,6.0,8.0,,
79,2013-02-05,19:45:00,6.0,6.0,,
80,2013-02-05,20:00:00,4.0,4.0,,
81,2013-02-05,20:15:00,0.0,2.0,,
82,2013-02-05,20:30:00,5.0,4.0,,
83,2013-02-05,20:45:00,1.0,1.0,,
84,2013-02-05,21:00:00,6.0,1.0,,
85,2013-02-05,21:15:00,6.0,4.0,,
86,2013-02-05,21:30:00,6.0,5.0,,
87,2013-02-05,21:45:00,3.0,2.0,,
88,2013-02-05,22:00:00,3.0,0.0,,
89,2013-02-05,22:15:00,1.0,3.0,,
90,2013-02-05,22:30:00,3.0,1.0,,
91,2013-02-05,22:45:00,0.0,0.0,,
92,2013-02-05,23:00:00,1.0,1.0,,
93,2013-02-05,23:15:00,1.0,1.0,,
94,2013-02-05,23:30:00,1.0,1.0,,
95,2013-02-05,23:45:00,1.0,2.0,,
96,2013-02-06,00:00:00,7.0,2.0,,
97,2013-02-06,00:15:00,3.0,0.0,,
98,2013-02-06,00:30:00,0.0,1.0,,
99,2013-02-06,00:45:00,0.0,0.0,,
100,2013-02-06,01:00:00,15.0,0.0,,
101,2013-02-06,01:15:00,0.0,0.0,,
102,2013-02-06,01:30:00,3.0,1.0,,
103,2013-02-06,01:45:00,0.0,2.0,,
104,2013-02-06,02:00:00,1.0,1.0,,
105,2013-02-06,02:15:00,0.0,0.0,,
106,2013-02-06,02:30:00,1.0,2.0,,
107,2013-02-06,02:45:00,1.0,1.0,,
108,2013-02-06,03:00:00,1.0,2.0,,
109,2013-02-06,03:15:00,0.0,2.0,,
110,2013-02-06,03:30:00,0.0,1.0,,
111,2013-02-06,03:45:00,0.0,0.0,,
112,2013-02-06,04:00:00,1.0,3.0,,
113,2013-02-06,04:15:00,1.0,8.0,,
114,2013-02-06,04:30:00,4.0,3.0,,
115,2013-02-06,04:45:00,1.0,3.0,,
116,2013-02-06,05:00:00,6.0,5.0,,
117,2013-02-06,05:15:00,8.0,13.0,,
118,2013-02-06,05:30:00,11.0,19.0,,
119,2013-02-06,05:45:00,13.0,15.0,,
120,2013-02-06,06:00:00,20.0,12.0,,
121,2013-02-06,06:15:00,6.0,10.0,,
122,2013-02-06,06:30:00,17.0,15.0,,
123,2013-02-06,06:45:00,17.0,13.0,,
124,2013-02-06,07:00:00,4.0,22.0,,
125,2013-02-06,07:15:00,8.0,12.0,,
126,2013-02-06,07:30:00,21.0,21.0,,
127,2013-02-06,07:45:00,21.0,43.0,,
128,2013-02-06,08:00:00,24.0,30.0,,
129,2013-02-06,08:15:00,38.0,17.0,,
130,2013-02-06,08:30:00,31.0,11.0,,
131,2013-02-06,08:45:00,28.0,18.0,,
132,2013-02-06,09:00:00,13.0,19.0,,
133,2013-02-06,09:15:00,27.0,21.0,,
134,2013-02-06,09:30:00,36.0,23.0,,
135,2013-02-06,09:45:00,29.0,22.0,,
136,2013-02-06,10:00:00,39.0,18.0,,
137,2013-02-06,10:15:00,31.0,22.0,,
138,2013-02-06,10:30:00,28.0,25.0,,
139,2013-02-06,10:45:00,45.0,25.0,,
140,2013-02-06,11:00:00,39.0,26.0,,
141,2013-02-06,11:15:00,42.0,21.0,,
142,2013-02-06,11:30:00,43.0,38.0,,
143,2013-02-06,11:45:00,50.0,32.0,,
144,2013-02-06,12:00:00,50.0,39.0,,
145,2013-02-06,12:15:00,43.0,39.0,,
146,2013-02-06,12:30:00,42.0,43.0,,
