,Unnamed: 1,TIME,NB,SB,EB,WB
0,2013-01-08,00:00:00,,,,6.0
1,2013-01-08,00:15:00,,,,1.0
2,2013-01-08,00:30:00,,,,4.0
3,2013-01-08,00:45:00,,,,0.0
4,2013-01-08,01:00:00,,,,0.0
5,2013-01-08,01:15:00,,,,0.0
6,2013-01-08,01:30:00,,,,2.0
7,2013-01-08,01:45:00,,,,0.0
8,2013-01-08,02:00:00,,,,3.0
9,2013-01-08,02:15:00,,,,0.0
10,2013-01-08,02:30:00,,,,0.0
11,2013-01-08,02:45:00,,,,0.0
12,2013-01-08,03:00:00,,,,1.0
13,2013-01-08,03:15:00,,,,2.0
14,2013-01-08,03:30:00,,,,1.0
15,2013-01-08,03:45:00,,,,2.0
16,2013-01-08,04:00:00,,,,1.0
17,2013-01-08,04:15:00,,,,0.0
18,2013-01-08,04:30:00,,,,4.0
19,2013-01-08,04:45:00,,,,1.0
20,2013-01-08,05:00:00,,,,0.0
21,2013-01-08,05:15:00,,,,1.0
22,2013-01-08,05:30:00,,,,9.0
23,2013-01-08,05:45:00,,,,8.0
24,2013-01-08,06:00:00,,,,11.0
25,2013-01-08,06:15:00,,,,5.0
26,2013-01-08,06:30:00,,,,5.0
27,2013-01-08,06:45:00,,,,7.0
28,2013-01-08,07:00:00,,,,12.0
29,2013-01-08,07:15:00,,,,24.0
30,2013-01-08,07:30:00,,,,41.0
31,2013-01-08,07:45:00,,,,72.0
32,2013-01-08,08:00:00,,,,57.0
33,2013-01-08,08:15:00,,,,69.0
34,2013-01-08,08:30:00,,,,60.0
35,2013-01-08,08:45:00,,,,51.0
36,2013-01-08,09:00:00,,,,30.0
37,2013-01-08,09:15:00,,,,40.0
38,2013-01-08,09:30:00,,,,35.0
39,2013-01-08,09:45:00,,,,28.0
40,2013-01-08,10:00:00,,,,33.0
41,2013-01-08,10:15:00,,,,21.0
42,2013-01-08,10:30:00,,,,38.0
43,2013-01-08,10:45:00,,,,33.0
44,2013-01-08,11:00:00,,,,27.0
45,2013-01-08,11:15:00,,,,38.0
46,2013-01-08,11:30:00,,,,38.0
47,2013-01-08,11:45:00,,,,41.0
48,2013-01-08,12:00:00,,,,50.0
49,2013-01-08,12:15:00,,,,47.0
50,2013-01-08,12:30:00,,,,28.0
51,2013-01-08,12:45:00,,,,26.0
52,2013-01-08,13:00:00,,,,33.0
53,2013-01-08,13:15:00,,,,32.0
54,2013-01-08,13:30:00,,,,42.0
55,2013-01-08,13:45:00,,,,43.0
56,2013-01-08,14:00:00,,,,46.0
57,2013-01-08,14:15:00,,,,43.0
58,2013-01-08,14:30:00,,,,51.0
59,2013-01-08,14:45:00,,,,58.0
60,2013-01-08,15:00:00,,,,89.0
61,2013-01-08,15:15:00,,,,76.0
62,2013-01-08,15:30:00,,,,47.0
63,2013-01-08,15:45:00,,,,50.0
64,2013-01-08,16:00:00,,,,43.0
65,2013-01-08,16:15:00,,,,53.0
66,2013-01-08,16:30:00,,,,42.0
67,2013-01-08,16:45:00,,,,47.0
68,2013-01-08,17:00:00,,,,44.0
69,2013-01-08,17:15:00,,,,34.0
70,2013-01-08,17:30:00,,,,47.0
71,2013-01-08,17:45:00,,,,45.0
72,2013-01-08,18:00:00,,,,46.0
73,2013-01-08,18:15:00,,,,42.0
74,2013-01-08,18:30:00,,,,38.0
75,2013-01-08,18:45:00,,,,32.0
76,2013-01-08,19:00:00,,,,52.0
77,2013-01-08,19:15:00,,,,66.0
78,2013-01-08,19:30:00,,,,37.0
79,2013-01-08,19:45:00,,,,30.0
80,2013-01-08,20:00:00,,,,43.0
81,2013-01-08,20:15:00,,,,26.0
