Day,Time,Count
 Tuesday -  May 21 -  2019 - Total=5319,21:45,15.0
 Tuesday -  May 21 -  2019 - Total=5319,22:0,23.0
 Tuesday -  May 21 -  2019 - Total=5319,22:15,17.0
 Tuesday -  May 21 -  2019 - Total=5319,22:30,12.0
 Tuesday -  May 21 -  2019 - Total=5319,22:45,19.0
 Tuesday -  May 21 -  2019 - Total=5319,23:0,11.0
 Tuesday -  May 21 -  2019 - Total=5319,23:15,11.0
 Tuesday -  May 21 -  2019 - Total=5319,23:30,9.0
 Tuesday -  May 21 -  2019 - Total=5319,23:45,8.0
 Wednesday -  May 22 -  2019 - Total=5720,0:0,5.0
 Wednesday -  May 22 -  2019 - Total=5720,0:15,3.0
 Wednesday -  May 22 -  2019 - Total=5720,0:30,2.0
 Wednesday -  May 22 -  2019 - Total=5720,0:45,4.0
 Wednesday -  May 22 -  2019 - Total=5720,1:0,3.0
 Wednesday -  May 22 -  2019 - Total=5720,1:15,1.0
 Wednesday -  May 22 -  2019 - Total=5720,1:30,1.0
 Wednesday -  May 22 -  2019 - Total=5720,1:45,1.0
 Wednesday -  May 22 -  2019 - Total=5720,2:0,0.0
 Wednesday -  May 22 -  2019 - Total=5720,2:15,0.0
 Wednesday -  May 22 -  2019 - Total=5720,2:30,1.0
 Wednesday -  May 22 -  2019 - Total=5720,2:45,3.0
 Wednesday -  May 22 -  2019 - Total=5720,3:0,3.0
 Wednesday -  May 22 -  2019 - Total=5720,3:15,2.0
 Wednesday -  May 22 -  2019 - Total=5720,3:30,4.0
 Wednesday -  May 22 -  2019 - Total=5720,3:45,5.0
 Wednesday -  May 22 -  2019 - Total=5720,4:0,4.0
 Wednesday -  May 22 -  2019 - Total=5720,4:15,13.0
 Wednesday -  May 22 -  2019 - Total=5720,4:30,12.0
 Wednesday -  May 22 -  2019 - Total=5720,4:45,15.0
 Wednesday -  May 22 -  2019 - Total=5720,5:0,19.0
 Wednesday -  May 22 -  2019 - Total=5720,5:15,26.0
 Wednesday -  May 22 -  2019 - Total=5720,5:30,39.0
 Wednesday -  May 22 -  2019 - Total=5720,5:45,61.0
 Wednesday -  May 22 -  2019 - Total=5720,6:0,64.0
 Wednesday -  May 22 -  2019 - Total=5720,6:15,97.0
 Wednesday -  May 22 -  2019 - Total=5720,6:30,133.0
 Wednesday -  May 22 -  2019 - Total=5720,6:45,143.0
 Wednesday -  May 22 -  2019 - Total=5720,7:0,147.0
 Wednesday -  May 22 -  2019 - Total=5720,7:15,146.0
 Wednesday -  May 22 -  2019 - Total=5720,7:30,185.0
 Wednesday -  May 22 -  2019 - Total=5720,7:45,187.0
 Wednesday -  May 22 -  2019 - Total=5720,8:0,158.0
 Wednesday -  May 22 -  2019 - Total=5720,8:15,173.0
 Wednesday -  May 22 -  2019 - Total=5720,8:30,162.0
 Wednesday -  May 22 -  2019 - Total=5720,8:45,162.0
 Wednesday -  May 22 -  2019 - Total=5720,9:0,188.0
 Wednesday -  May 22 -  2019 - Total=5720,9:15,141.0
 Wednesday -  May 22 -  2019 - Total=5720,9:30,104.0
 Wednesday -  May 22 -  2019 - Total=5720,9:45,97.0
 Wednesday -  May 22 -  2019 - Total=5720,10:0,81.0
 Wednesday -  May 22 -  2019 - Total=5720,10:15,92.0
 Wednesday -  May 22 -  2019 - Total=5720,10:30,85.0
 Wednesday -  May 22 -  2019 - Total=5720,10:45,82.0
 Wednesday -  May 22 -  2019 - Total=5720,11:0,63.0
 Wednesday -  May 22 -  2019 - Total=5720,11:15,70.0
 Wednesday -  May 22 -  2019 - Total=5720,11:30,86.0
 Wednesday -  May 22 -  2019 - Total=5720,11:45,88.0
 Wednesday -  May 22 -  2019 - Total=5720,12:0,67.0
 Wednesday -  May 22 -  2019 - Total=5720,12:15,51.0
 Wednesday -  May 22 -  2019 - Total=5720,12:30,55.0
 Wednesday -  May 22 -  2019 - Total=5720,12:45,88.0
 Wednesday -  May 22 -  2019 - Total=5720,13:0,46.0
 Wednesday -  May 22 -  2019 - Total=5720,13:15,65.0
 Wednesday -  May 22 -  2019 - Total=5720,13:30,90.0
 Wednesday -  May 22 -  2019 - Total=5720,13:45,87.0
 Wednesday -  May 22 -  2019 - Total=5720,14:0,98.0
 Wednesday -  May 22 -  2019 - Total=5720,14:15,78.0
 Wednesday -  May 22 -  2019 - Total=5720,14:30,72.0
 Wednesday -  May 22 -  2019 - Total=5720,14:45,56.0
 Wednesday -  May 22 -  2019 - Total=5720,15:0,98.0
 Wednesday -  May 22 -  2019 - Total=5720,15:15,102.0
 Wednesday -  May 22 -  2019 - Total=5720,15:30,62.0
 Wednesday -  May 22 -  2019 - Total=5720,15:45,83.0
 Wednesday -  May 22 -  2019 - Total=5720,16:0,41.0
 Wednesday -  May 22 -  2019 - Total=5720,16:15,60.0
 Wednesday -  May 22 -  2019 - Total=5720,16:30,51.0
 Wednesday -  May 22 -  2019 - Total=5720,16:45,57.0
 Wednesday -  May 22 -  2019 - Total=5720,17:0,66.0
 Wednesday -  May 22 -  2019 - Total=5720,17:15,60.0
 Wednesday -  May 22 -  2019 - Total=5720,17:30,63.0
 Wednesday -  May 22 -  2019 - Total=5720,17:45,76.0
 Wednesday -  May 22 -  2019 - Total=5720,18:0,73.0
 Wednesday -  May 22 -  2019 - Total=5720,18:15,82.0
 Wednesday -  May 22 -  2019 - Total=5720,18:30,64.0
 Wednesday -  May 22 -  2019 - Total=5720,18:45,59.0
 Wednesday -  May 22 -  2019 - Total=5720,19:0,58.0
 Wednesday -  May 22 -  2019 - Total=5720,19:15,53.0
 Wednesday -  May 22 -  2019 - Total=5720,19:30,47.0
 Wednesday -  May 22 -  2019 - Total=5720,19:45,51.0
 Wednesday -  May 22 -  2019 - Total=5720,20:0,51.0
 Wednesday -  May 22 -  2019 - Total=5720,20:15,44.0
 Wednesday -  May 22 -  2019 - Total=5720,20:30,53.0
 Wednesday -  May 22 -  2019 - Total=5720,20:45,37.0
 Wednesday -  May 22 -  2019 - Total=5720,21:0,30.0
 Wednesday -  May 22 -  2019 - Total=5720,21:15,33.0
 Wednesday -  May 22 -  2019 - Total=5720,21:30,24.0
 Wednesday -  May 22 -  2019 - Total=5720,21:45,13.0
 Wednesday -  May 22 -  2019 - Total=5720,22:0,17.0
 Wednesday -  May 22 -  2019 - Total=5720,22:15,17.0
 Wednesday -  May 22 -  2019 - Total=5720,22:30,20.0
 Wednesday -  May 22 -  2019 - Total=5720,22:45,25.0
 Wednesday -  May 22 -  2019 - Total=5720,23:0,11.0
 Wednesday -  May 22 -  2019 - Total=5720,23:15,9.0
 Wednesday -  May 22 -  2019 - Total=5720,23:30,7.0
 Wednesday -  May 22 -  2019 - Total=5720,23:45,9.0
 Thursday -  May 23 -  2019 - Total=5552,0:0,6.0
 Thursday -  May 23 -  2019 - Total=5552,0:15,2.0
 Thursday -  May 23 -  2019 - Total=5552,0:30,8.0
 Thursday -  May 23 -  2019 - Total=5552,0:45,2.0
 Thursday -  May 23 -  2019 - Total=5552,1:0,3.0
 Thursday -  May 23 -  2019 - Total=5552,1:15,8.0
 Thursday -  May 23 -  2019 - Total=5552,1:30,1.0
 Thursday -  May 23 -  2019 - Total=5552,1:45,2.0
 Thursday -  May 23 -  2019 - Total=5552,2:0,2.0
 Thursday -  May 23 -  2019 - Total=5552,2:15,1.0
 Thursday -  May 23 -  2019 - Total=5552,2:30,1.0
