Day,Time,Count
 Tuesday -  May 7 -  2019 - Total=2396,21:45,2.0
 Tuesday -  May 7 -  2019 - Total=2396,22:0,4.0
 Tuesday -  May 7 -  2019 - Total=2396,22:15,4.0
 Tuesday -  May 7 -  2019 - Total=2396,22:30,10.0
 Tuesday -  May 7 -  2019 - Total=2396,22:45,8.0
 Tuesday -  May 7 -  2019 - Total=2396,23:0,5.0
 Tuesday -  May 7 -  2019 - Total=2396,23:15,5.0
 Tuesday -  May 7 -  2019 - Total=2396,23:30,6.0
 Tuesday -  May 7 -  2019 - Total=2396,23:45,4.0
 Wednesday -  May 8 -  2019 - Total=2494,0:0,0.0
 Wednesday -  May 8 -  2019 - Total=2494,0:15,2.0
 Wednesday -  May 8 -  2019 - Total=2494,0:30,6.0
 Wednesday -  May 8 -  2019 - Total=2494,0:45,1.0
 Wednesday -  May 8 -  2019 - Total=2494,1:0,0.0
 Wednesday -  May 8 -  2019 - Total=2494,1:15,1.0
 Wednesday -  May 8 -  2019 - Total=2494,1:30,0.0
 Wednesday -  May 8 -  2019 - Total=2494,1:45,0.0
 Wednesday -  May 8 -  2019 - Total=2494,2:0,1.0
 Wednesday -  May 8 -  2019 - Total=2494,2:15,1.0
 Wednesday -  May 8 -  2019 - Total=2494,2:30,0.0
 Wednesday -  May 8 -  2019 - Total=2494,2:45,0.0
 Wednesday -  May 8 -  2019 - Total=2494,3:0,0.0
 Wednesday -  May 8 -  2019 - Total=2494,3:15,0.0
 Wednesday -  May 8 -  2019 - Total=2494,3:30,0.0
 Wednesday -  May 8 -  2019 - Total=2494,3:45,0.0
 Wednesday -  May 8 -  2019 - Total=2494,4:0,0.0
 Wednesday -  May 8 -  2019 - Total=2494,4:15,0.0
 Wednesday -  May 8 -  2019 - Total=2494,4:30,0.0
 Wednesday -  May 8 -  2019 - Total=2494,4:45,0.0
 Wednesday -  May 8 -  2019 - Total=2494,5:0,1.0
 Wednesday -  May 8 -  2019 - Total=2494,5:15,1.0
 Wednesday -  May 8 -  2019 - Total=2494,5:30,2.0
 Wednesday -  May 8 -  2019 - Total=2494,5:45,4.0
 Wednesday -  May 8 -  2019 - Total=2494,6:0,4.0
 Wednesday -  May 8 -  2019 - Total=2494,6:15,4.0
